Date,Store Location,Product Category,Product Name,Quantity Sold,Unit Price (₦),Total Sales (₦),Payment Method,Salesperson
01/01/2025,Maitama,Uncategorised,Unknown Product,-1,1903.98,0,,Alice
01/01/2025,Central Area,Household Items,Air Freshener,-1,1273.35,0,,Chinedu
01/01/2025,Wuse,Household Items,Toilet Roll,-1,1645.82,100000,,Unknown
01/01/2025,Wuse,Beverages,Fanta,20,1828.72,36574.4,,Cynthia
01/01/2025,Wuse,Household Items,Detergent,-1,1770.86,0,Cash,Cynthia
01/01/2025,Central Area,Uncategorised,Unknown Product,1000,1964.03,1964030,POS,Alice
01/01/2025,Central Area,Uncategorised,Unknown Product,10,46.66,466.6,Transfer,Alice
01/01/2025,Maitama,Uncategorised,Unknown Product,8,10.84,86.72,,Chinedu
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,1000,-116.4,100000,Transfer,Alice
01/01/2025,Gwarinpa,Beverages,Five Alive Juice,-1,-212.22,-500,Cash,Alice
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,1000,736.4,736400,,Dami
01/01/2025,Garki,Snacks,Plantain Chips,0,1064.65,0,,Chinedu
01/01/2025,Central Area,Snacks,Biscuits,7,1325.27,9276.89,Transfer,Unknown
01/01/2025,Garki,Household Items,Hand Sanitizer,0,-212.84,-500,POS,Unknown
01/01/2025,Wuse,Uncategorised,Unknown Product,1000,1759.95,1759950,Transfer,Unknown
01/01/2025,Wuse,Uncategorised,Unknown Product,-1,1299.05,0,POS,Unknown
01/01/2025,Maitama,Uncategorised,Unknown Product,1000,1721.42,1721420,Transfer,Alice
01/01/2025,Gwarinpa,Household Items,Dish Soap,1000,1753.54,1753540,,Cynthia
01/01/2025,Utako,Snacks,Biscuits,-1,1427.64,-500,POS,Alice
01/01/2025,Wuse,Household Items,Hand Sanitizer,1000,800.7,800700,POS,Dami
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,14,262.3,3672.2,Cash,Emeka
01/01/2025,Central Area,Uncategorised,Unknown Product,0,-129.6,-500,POS,Alice
01/01/2025,Garki,Household Items,Toilet Roll,9,-160.02,-500,Transfer,Alice
01/01/2025,Wuse,Uncategorised,Unknown Product,-1,1786.93,100000,POS,Cynthia
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,1738.63,0,Cash,Unknown
01/01/2025,Central Area,Beverages,Coca-Cola,1000,20.59,20590,Cash,Alice
01/01/2025,Central Area,Uncategorised,Unknown Product,1000,606.51,606510,POS,Unknown
01/01/2025,Central Area,Household Items,Toilet Roll,-1,-28.73,100000,,Unknown
01/01/2025,Garki,Snacks,Cake,4,1561.15,6244.6,Cash,Cynthia
01/01/2025,Maitama,Uncategorised,Unknown Product,1000,1837.69,1837690,,Fatima
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,0,1269.82,100000,POS,Cynthia
01/01/2025,Gwarinpa,Beverages,Fanta,3,53.87,161.61,Cash,Cynthia
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,0,818.65,-500,Cash,Bola
01/01/2025,Utako,Snacks,Meat Pie,6,9.4,56.4,,Chinedu
01/01/2025,Gwarinpa,Household Items,Air Freshener,0,-227.05,-500,,Bola
01/01/2025,Utako,Snacks,Biscuits,-1,-434.26,0,Transfer,Cynthia
01/01/2025,Gwarinpa,Snacks,Cake,1000,1515.91,1515910,Cash,Unknown
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,1000,1281.82,1281820,Transfer,Cynthia
01/01/2025,Gwarinpa,Snacks,Cake,1000,288.06,288060,POS,Emeka
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,-240.07,-500,POS,Bola
01/01/2025,Central Area,Household Items,Dish Soap,1000,1783.19,1783190,Transfer,Alice
01/01/2025,Gwarinpa,Household Items,Detergent,-1,625.78,-500,Transfer,Alice
01/01/2025,Central Area,Household Items,Toilet Roll,2,1248.28,2496.56,Cash,Unknown
01/01/2025,Wuse,Beverages,Water,4,1461.49,5845.96,Transfer,Unknown
01/01/2025,Central Area,Snacks,Chin Chin,1000,33.55,33550,POS,Cynthia
01/01/2025,Utako,Snacks,Plantain Chips,1000,1443.03,1443030,POS,Chinedu
01/01/2025,Utako,Uncategorised,Unknown Product,1000,490.36,490360,,Unknown
01/01/2025,Central Area,Uncategorised,Unknown Product,1000,1853.47,1853470,,Alice
01/01/2025,Garki,Snacks,Cake,10,-233.39,-500,,Chinedu
01/01/2025,Garki,Uncategorised,Unknown Product,0,1316.4,0,Cash,Unknown
01/01/2025,Central Area,Uncategorised,Unknown Product,0,197.94,-500,POS,Bola
01/01/2025,Utako,Snacks,Chin Chin,1000,626.52,626520,Transfer,Bola
01/01/2025,Maitama,Uncategorised,Unknown Product,0,843.7,100000,Transfer,Unknown
01/01/2025,Gwarinpa,Household Items,Hand Sanitizer,20,657.05,13141,POS,Emeka
01/01/2025,Maitama,Beverages,Coca-Cola,0,590.29,0,POS,Chinedu
01/01/2025,Garki,Uncategorised,Unknown Product,5,1014.07,5070.35,Transfer,Chinedu
01/01/2025,Wuse,Household Items,Toilet Roll,11,-478,100000,Cash,Unknown
01/01/2025,Maitama,Beverages,Fanta,1000,1728.15,1728150,Cash,Alice
01/01/2025,Maitama,Snacks,Chin Chin,15,1311.94,19679.1,Cash,Chinedu
01/01/2025,Wuse,Household Items,Air Freshener,1000,-222.59,100000,Transfer,Alice
01/01/2025,Garki,Uncategorised,Unknown Product,0,1474.79,0,Transfer,Chinedu
01/01/2025,Gwarinpa,Snacks,Cake,4,-295.21,-500,,Unknown
01/01/2025,Gwarinpa,Beverages,Water,14,1737.22,24321.08,Transfer,Dami
01/01/2025,Wuse,Uncategorised,Unknown Product,1000,1745.2,1745200,Cash,Chinedu
01/01/2025,Central Area,Beverages,Water,0,-248,-500,Transfer,Unknown
01/01/2025,Wuse,Snacks,Cake,1000,158.56,158560,POS,Dami
01/01/2025,Garki,Uncategorised,Unknown Product,1000,34.99,34990,POS,Alice
01/01/2025,Maitama,Household Items,Air Freshener,1000,-34.08,100000,,Cynthia
01/01/2025,Garki,Snacks,Meat Pie,1000,1572.01,1572010,POS,Unknown
01/01/2025,Wuse,Snacks,Plantain Chips,-1,69.08,100000,,Cynthia
01/01/2025,Gwarinpa,Snacks,Biscuits,1000,761.67,761670,Cash,Dami
01/01/2025,Maitama,Uncategorised,Unknown Product,-1,-191.22,0,POS,Emeka
01/01/2025,Wuse,Uncategorised,Unknown Product,1000,1471.63,1471630,POS,Unknown
01/01/2025,Utako,Uncategorised,Unknown Product,-1,1395.08,100000,Cash,Unknown
01/01/2025,Central Area,Uncategorised,Unknown Product,0,1641.2,0,,Cynthia
01/01/2025,Wuse,Snacks,Meat Pie,3,171.72,515.16,Transfer,Unknown
01/01/2025,Central Area,Uncategorised,Unknown Product,7,495.08,3465.56,,Dami
01/01/2025,Central Area,Household Items,Toilet Roll,1,556.52,556.52,Cash,Alice
01/01/2025,Garki,Household Items,Hand Sanitizer,1,1232.05,1232.05,,Chinedu
01/01/2025,Utako,Uncategorised,Unknown Product,0,435.84,100000,POS,Dami
01/01/2025,Wuse,Snacks,Plantain Chips,0,537.64,100000,Cash,Dami
01/01/2025,Central Area,Household Items,Toilet Roll,1000,171.62,171620,Transfer,Dami
01/01/2025,Utako,Uncategorised,Unknown Product,0,510.21,-500,Cash,Chinedu
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,368.17,-500,Cash,Bola
01/01/2025,Garki,Snacks,Chin Chin,-1,69.21,-500,POS,Alice
01/01/2025,Gwarinpa,Beverages,Coca-Cola,1000,1783.11,1783110,Cash,Emeka
01/01/2025,Garki,Beverages,Water,-1,-334.45,100000,POS,Dami
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,517.03,100000,Cash,Unknown
01/01/2025,Gwarinpa,Snacks,Plantain Chips,0,1871.17,-500,,Fatima
01/01/2025,Maitama,Uncategorised,Unknown Product,18,296.12,5330.16,Cash,Unknown
01/01/2025,Central Area,Household Items,Dish Soap,0,1906.69,-500,Cash,Cynthia
01/01/2025,Maitama,Beverages,Five Alive Juice,0,1012.86,-500,,Bola
01/01/2025,Wuse,Beverages,Fanta,1000,1433.12,1433120,POS,Cynthia
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,1808.35,100000,POS,Unknown
01/01/2025,Central Area,Household Items,Hand Sanitizer,0,-150.29,0,Cash,Cynthia
01/01/2025,Gwarinpa,Snacks,Meat Pie,0,715.48,100000,,Emeka
01/01/2025,Garki,Uncategorised,Unknown Product,1000,226.52,226520,Transfer,Dami
01/01/2025,Wuse,Uncategorised,Unknown Product,-1,-178.17,0,POS,Unknown
01/01/2025,Maitama,Household Items,Toilet Roll,12,1131.58,13578.96,POS,Bola
01/01/2025,Gwarinpa,Household Items,Toilet Roll,-1,1497.49,100000,Cash,Dami
01/01/2025,Wuse,Uncategorised,Unknown Product,0,669.06,100000,,Fatima
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,18,360.13,6482.34,Transfer,Cynthia
01/01/2025,Central Area,Uncategorised,Unknown Product,1000,1754.92,1754920,Transfer,Cynthia
01/01/2025,Maitama,Uncategorised,Unknown Product,0,1519.08,100000,POS,Bola
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,1332.27,100000,Cash,Alice
01/01/2025,Garki,Uncategorised,Unknown Product,11,258.79,2846.69,POS,Dami
01/01/2025,Wuse,Uncategorised,Unknown Product,8,1956.42,15651.36,Transfer,Unknown
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,0,1535.3,100000,,Unknown
01/01/2025,Wuse,Uncategorised,Unknown Product,0,1169.61,-500,,Unknown
01/01/2025,Garki,Uncategorised,Unknown Product,1000,1562.81,1562810,Cash,Bola
01/01/2025,Garki,Snacks,Biscuits,1000,766.12,766120,Transfer,Fatima
01/01/2025,Utako,Beverages,Five Alive Juice,8,1745.94,13967.52,Transfer,Chinedu
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,1647.09,100000,,Unknown
01/01/2025,Utako,Uncategorised,Unknown Product,0,514.89,0,,Alice
01/01/2025,Central Area,Uncategorised,Unknown Product,-1,-131.42,0,POS,Bola
01/01/2025,Wuse,Household Items,Dish Soap,-1,-306.83,0,Cash,Cynthia
01/01/2025,Utako,Uncategorised,Unknown Product,-1,14.2,0,Transfer,Unknown
01/01/2025,Central Area,Beverages,Fanta,0,1892.58,100000,Cash,Emeka
01/01/2025,Wuse,Beverages,Five Alive Juice,11,50,550,,Chinedu
01/01/2025,Maitama,Uncategorised,Unknown Product,-1,-240.45,-500,Cash,Alice
01/01/2025,Central Area,Beverages,Pepsi,1000,-181.1,-500,Transfer,Alice
01/01/2025,Gwarinpa,Beverages,Five Alive Juice,16,1316.8,21068.8,Cash,Unknown
01/01/2025,Garki,Uncategorised,Unknown Product,9,1039.5,9355.5,Transfer,Alice
01/01/2025,Garki,Snacks,Meat Pie,0,542.83,0,Transfer,Dami
01/01/2025,Maitama,Uncategorised,Unknown Product,1000,982.91,982910,Transfer,Bola
01/01/2025,Garki,Household Items,Air Freshener,-1,996.68,-500,,Bola
01/01/2025,Garki,Beverages,Water,0,-438.46,-500,Cash,Unknown
01/01/2025,Wuse,Beverages,Fanta,0,-421.42,100000,POS,Bola
01/01/2025,Central Area,Snacks,Biscuits,0,1931.31,-500,Transfer,Unknown
01/01/2025,Gwarinpa,Beverages,Water,0,1219.02,100000,Transfer,Fatima
01/01/2025,Garki,Household Items,Dish Soap,0,1484.71,0,POS,Dami
01/01/2025,Gwarinpa,Beverages,Coca-Cola,1000,1751.34,1751340,Transfer,Chinedu
01/01/2025,Wuse,Snacks,Chin Chin,18,1015.85,18285.3,,Emeka
01/01/2025,Gwarinpa,Snacks,Biscuits,0,1348.88,0,Transfer,Dami
01/01/2025,Gwarinpa,Snacks,Chin Chin,13,866.41,11263.33,POS,Bola
01/01/2025,Wuse,Household Items,Toilet Roll,-1,-479.46,100000,Cash,Cynthia
01/01/2025,Central Area,Uncategorised,Unknown Product,-1,954.69,-500,Transfer,Bola
01/01/2025,Wuse,Uncategorised,Unknown Product,10,-447.65,100000,Cash,Dami
01/01/2025,Garki,Beverages,Fanta,1000,1540.5,1540500,,Cynthia
01/01/2025,Central Area,Beverages,Pepsi,0,-413.88,-500,Transfer,Bola
01/01/2025,Wuse,Uncategorised,Unknown Product,1000,597.01,597010,POS,Bola
01/01/2025,Central Area,Uncategorised,Unknown Product,-1,136.83,-500,Transfer,Alice
01/01/2025,Central Area,Uncategorised,Unknown Product,1000,1067.76,1067760,Transfer,Cynthia
01/01/2025,Wuse,Uncategorised,Unknown Product,5,453.25,2266.25,,Chinedu
01/01/2025,Wuse,Household Items,Hand Sanitizer,0,1359.49,100000,Transfer,Emeka
01/01/2025,Gwarinpa,Household Items,Air Freshener,18,829.38,14928.84,Transfer,Alice
01/01/2025,Wuse,Uncategorised,Unknown Product,-1,759.14,0,POS,Fatima
01/01/2025,Wuse,Beverages,Fanta,0,121.7,0,Transfer,Dami
01/01/2025,Maitama,Uncategorised,Unknown Product,0,415.39,-500,Cash,Unknown
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,1850.66,-500,Transfer,Unknown
01/01/2025,Gwarinpa,Beverages,Water,1000,-299.36,-500,Cash,Emeka
01/01/2025,Gwarinpa,Household Items,Detergent,-1,1820.38,100000,Transfer,Fatima
01/01/2025,Wuse,Snacks,Plantain Chips,17,916.14,15574.38,Cash,Alice
01/01/2025,Utako,Uncategorised,Unknown Product,5,620.18,3100.9,Cash,Dami
01/01/2025,Central Area,Uncategorised,Unknown Product,-1,865.21,100000,POS,Cynthia
01/01/2025,Gwarinpa,Snacks,Cake,1000,726.81,726810,POS,Unknown
01/01/2025,Utako,Uncategorised,Unknown Product,1000,1617.92,1617920,POS,Unknown
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,1000,388.85,388850,Transfer,Alice
01/01/2025,Wuse,Beverages,Pepsi,1000,1703.05,1703050,,Bola
01/01/2025,Wuse,Beverages,Five Alive Juice,0,-359.13,0,Transfer,Unknown
01/01/2025,Wuse,Household Items,Dish Soap,-1,68.75,0,,Bola
01/01/2025,Gwarinpa,Household Items,Dish Soap,1000,340.81,340810,,Cynthia
01/01/2025,Garki,Uncategorised,Unknown Product,1000,537.94,537940,,Unknown
01/01/2025,Central Area,Uncategorised,Unknown Product,9,1596.8,14371.2,,Fatima
01/01/2025,Maitama,Beverages,Pepsi,1000,715.04,715040,,Unknown
01/01/2025,Wuse,Beverages,Fanta,-1,1404.4,0,POS,Chinedu
01/01/2025,Wuse,Snacks,Biscuits,-1,511.96,100000,POS,Dami
01/01/2025,Garki,Uncategorised,Unknown Product,-1,260.29,-500,Transfer,Dami
01/01/2025,Central Area,Household Items,Toilet Roll,-1,1321.24,0,POS,Chinedu
01/01/2025,Utako,Uncategorised,Unknown Product,16,-458.11,-500,Cash,Unknown
01/01/2025,Central Area,Snacks,Cake,0,1524.55,-500,,Bola
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,988.85,0,POS,Alice
01/01/2025,Gwarinpa,Household Items,Detergent,1000,657.13,657130,Transfer,Cynthia
01/01/2025,Garki,Snacks,Meat Pie,1000,83.98,83980,Transfer,Alice
01/01/2025,Central Area,Snacks,Meat Pie,0,-246.18,-500,Cash,Dami
01/01/2025,Wuse,Household Items,Detergent,-1,-405.11,-500,Transfer,Cynthia
01/01/2025,Wuse,Snacks,Chin Chin,0,1929.45,100000,,Chinedu
01/01/2025,Central Area,Uncategorised,Unknown Product,0,200.82,-500,POS,Unknown
01/01/2025,Maitama,Snacks,Cake,0,554.45,100000,POS,Chinedu
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,-394.91,0,Transfer,Dami
01/01/2025,Wuse,Snacks,Cake,-1,1079.79,-500,,Dami
01/01/2025,Central Area,Household Items,Dish Soap,8,1835.44,14683.52,Cash,Fatima
01/01/2025,Wuse,Household Items,Dish Soap,12,561.81,6741.72,POS,Unknown
01/01/2025,Maitama,Uncategorised,Unknown Product,6,1738.01,10428.06,POS,Dami
01/01/2025,Gwarinpa,Snacks,Biscuits,-1,1296.68,-500,,Alice
01/01/2025,Gwarinpa,Snacks,Cake,-1,1666.49,0,,Fatima
01/01/2025,Wuse,Beverages,Coca-Cola,-1,715.21,-500,Cash,Fatima
01/01/2025,Central Area,Household Items,Detergent,0,1954.88,0,POS,Alice
01/01/2025,Wuse,Uncategorised,Unknown Product,-1,272.97,100000,,Bola
01/01/2025,Central Area,Uncategorised,Unknown Product,-1,1833.98,100000,Transfer,Alice
01/01/2025,Garki,Beverages,Pepsi,1000,-305.48,100000,Transfer,Unknown
01/01/2025,Garki,Beverages,Water,1000,783.57,783570,,Emeka
01/01/2025,Central Area,Uncategorised,Unknown Product,-1,28.1,100000,Cash,Chinedu
01/01/2025,Wuse,Household Items,Dish Soap,1000,-107.51,0,Transfer,Cynthia
01/01/2025,Garki,Uncategorised,Unknown Product,12,1712.17,20546.04,,Unknown
01/01/2025,Wuse,Beverages,Five Alive Juice,-1,1203.59,-500,POS,Emeka
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,348.53,0,Transfer,Unknown
01/01/2025,Central Area,Beverages,Coca-Cola,-1,1366.37,-500,POS,Chinedu
01/01/2025,Central Area,Household Items,Dish Soap,1000,742.06,742060,Cash,Unknown
01/01/2025,Utako,Uncategorised,Unknown Product,3,1585.35,4756.05,Cash,Unknown
01/01/2025,Central Area,Household Items,Hand Sanitizer,1000,-58.07,-500,,Bola
01/01/2025,Garki,Snacks,Cake,2,473.22,946.44,Transfer,Emeka
01/01/2025,Central Area,Snacks,Biscuits,0,-16.89,0,Transfer,Cynthia
01/01/2025,Garki,Snacks,Plantain Chips,1000,1968.14,1968140,Transfer,Unknown
01/01/2025,Gwarinpa,Uncategorised,Unknown Product,-1,192.43,0,POS,Alice
01/01/2025,Central Area,Uncategorised,Unknown Product,0,90.86,100000,POS,Unknown
01/01/2025,Garki,Uncategorised,Unknown Product,-1,1237.94,100000,,Alice
01/01/2025,Wuse,Snacks,Biscuits,0,-164.92,100000,,Emeka
01/01/2025,Central Area,Uncategorised,Unknown Product,-1,-164.89,-500,Cash,Unknown
01/01/2025,Wuse,Household Items,Hand Sanitizer,0,112.24,100000,Transfer,Bola
01/01/2025,Central Area,Household Items,Hand Sanitizer,-1,-273.74,0,Cash,Dami
01/01/2025,Gwarinpa,Snacks,Chin Chin,6,-361.26,0,POS,Fatima
01/01/2025,Wuse,Snacks,Chin Chin,0,1857.94,100000,,Unknown
01/01/2025,Central Area,Uncategorised,Unknown Product,0,-215.69,-500,Transfer,Cynthia
01/01/2025,Central Area,Snacks,Biscuits,-1,-157.98,0,Transfer,Alice
01/01/2025,Garki,Beverages,Pepsi,1000,234.65,234650,Cash,Bola
